1	4	0	0	0	0	0	0	0	0
1	5	0	0	0	0	0	0	0	0
1	6	0	0	0	0	0	0	0	0

2	0	1	0	0	0	0	0	0	1
2	1	0	0	0	0	0	0	0	0
2	2	0	0	0	0	0	0	0	0
2	3	0	0	0	0	0	0	0	0
2	4	0	0	0	0	0	0	0	0
2	5	0	0	0	0	0	0	0	0
2	6	0	0	0	0	0	0	0	0

3	0	1	0	0	0	0	0	0	1
3	1	0	0	0	0	0	0	0	0
3	2	0	0	0	0	0	0	0	0
3	3	0	0	0	0	0	0	0	0
3	4	0	0	0	0	0	0	0	0
3	5	0	0	0	0	0	0	0	0
3	6	0	0	0	0	0	0	0	0

4	0	1	0	0	0	0	0	0	1
4	1	0	0	0	0	0	0	0	0
4	2	0	0	0	0	0	0	0	0
4	3	0	0	0	0	0	0	0	0
4	4	0	0	0	0	0	0	0	0
4	5	0	0	0	0	0	0	0	0
4	6	0	0	0	0	0	0	0	0

5	0	1	0	0	0	0	0	0	1
5	1	0	0	0	0	0	0	0	0
5	2	0	0	0	0	0	0	0	0
5	3	0	0	0	0	0	0	0	0
5	4	0	0	0	0	0	0	0	0
5	5	0	0	0	0	0	0	0	0
5	6	0	0	0	0	0	0	0	0

6	0	1	0	0	0	0	0	0	1
6	1	0	0	0	0	0	0	0	0
6	2	0	0	0	0	0	0	0	0
6	3	0	0	0	0	0	0	0	0
6	4	0	0	0	0	0	0	0	0
6	5	0	0	0	0	0	0	0	0
6	6	0	0	0	0	0	0	0	0

7	0	1	0	0	0	0	0	0	1
7	1	0	0	0	0	0	0	0	0
7	2	0	0	0	0	0	0	0	0
7	3	0	0	0	0	0	0	0	0
7	4	0	0	0	0	0	0	0	0
7	5	0	0	0	0	0	0	0	0
7	6	0	0	0	0	0	0	0	0

8	0	1	0	0	0	0	0	0	1
8	1	0	0	0	0	0	0	0	0
8	2	0	0	0	0	0	0	0	0
8	3	0	0	0	0	0	0	0	0
8	4	0	0	0	0	0	0	0	0
8	5	0	0	0	0	0	0	0	0
8	6	0	0	0	0	0	0	0	0

9	0	1	0	0	0	0	0	0	1
9	1	0	0	0	0	0	0	0	0
9	2	0	0	0	0	0	0	0	0
9	3	0	0	0	0	0	0	0	0
9	4	0	0	0	0	0	0	0	0
9	5	0	0	0	0	0	0	0	0
9	6	0	0	0	0	0	0	0	0

10	0	1	0	0	0	0	0	0	1
10	1	0	0	0	0	0	0	0	0
10	2	0	0	0	0	0	0	0	0
10	3	0	0	0	0	0	0	0	0
10	4	0	0	0	0	0	0	0	0
10	5	0	0	0	0	0	0	0	0
10	6	0	0	0	0	0	0	0	0

